"district","county","subcounty","parish","year","school_name","ownership","gender","p1","p2","p3","p4","p5","p6","p7","total","location_code","facility_id"
"Masindi","Buruli","Labongo","Kihonda","2023","Nyakyanika Primary School","Government","Boys","96","84","88","66","38","36","14.0","422","D02S07P03","nyakyanika-primary-school_masindi"
"Masindi","Buruli","Miirya","Isimba","2023","Nyambindo Primary School","Government","Boys","141","82","73","62","45","33","14.0","450","D02S03P03","nyambindo-primary-school_masindi"
"Masindi","Bujenje","Nyantonzi","Nyantonzi","2023","Nyantonzi Primary School","Government","Boys","72","76","83","82","52","40","17.0","422","D02S16P01","nyantonzi-primary-school_masindi"
"Masindi","Bujenje","Bikonzi","Rukondwa","2023","Rukondwa Primary School","Government","Boys","27","22","19","28","22","15","9.0","142","D02S12P03","rukondwa-primary-school_masindi"
"Masindi","Bujenje","Nyantonzi","Rwempisi","2023","Rwempisi Primary School","Government","Boys","132","75","58","50","27","10","11.0","363","D02S16P05","rwempisi-primary-school_masindi"
"Masindi","Bujenje","Nyantonzi","Nyantonzi","2023","Siiba Primary School","Government","Boys","49","28","33","22","17","18","9.0","176","D02S16P01","siiba-primary-school_masindi"
"Masindi","Buruli","Pakanyi","Kyakamese Central","2023","St Marys Primary School Kyatiri","Government","Boys","123","249","154","112","71","66","45.0","820","D02S05P02","st-marys-primary-school-kyatiri_masindi"
"Masindi","Bujenje","Bwijanga","Kahembe","2023","St Kizito Murro Primary School","Government","Boys","29","24","20","15","12","17","10.0","127","D02S13P02","st-kizito-murro-primary-school_masindi"
"Masindi","Buruli","Pakanyi","Kyakamese Central","2023","St Pauls Primary School Pakanyi","Government","Boys","55","49","49","43","32","18","16.0","262","D02S05P02","st-pauls-primary-school-pakanyi_masindi"
"Masindi","Buruli","Pakanyi","Kyakamese Central","2023","Waiga Primary School","Government","Boys","143","166","135","130","68","36","22.0","700","D02S05P02","waiga-primary-school_masindi"
"Masindi","Buruli","Labongo","Kihonda","2023","Walyoba Primary School","Government","Boys","67","102","64","84","47","63","31.0","458","D02S07P03","walyoba-primary-school_masindi"
"Masindi","Bujenje","Bikonzi","Bikonzi","2023","Ikoba Boys Primary School","Government","Girls","0","0","0","0","0","0","0.0","0","D02S12P01","ikoba-boys-primary-school_masindi"
"Masindi","Buruli","Pakanyi","Kyakamese Central","2023","Alimugonza Primary School","Government","Girls","135","100","101","82","59","48","15.0","540","D02S05P02","alimugonza-primary-school_masindi"
"Masindi","Buruli","Labongo","Kasenyi","2023","Bokwe Primary School","Government","Girls","171","98","109","73","59","34","18.0","562","D02S07P02","bokwe-primary-school_masindi"
"Masindi","Bujenje","Budongo","Nyabyeya","2023","Budongo Saw Mill Primary School","Government","Girls","20","18","13","14","15","5","7.0","92","D02S22P04","budongo-saw-mill-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kahembe","2023","Bulima Primary School","Government","Girls","80","78","81","86","80","89","24.0","518","D02S13P02","bulima-primary-school_masindi"
"Masindi","Bujenje","Budongo","Bwinamira","2023","Bulyango Public Primary School","Government","Girls","58","72","35","30","34","18","16.0","263","D02S22P01","bulyango-public-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kitamba","2023","Byerima Primary School","Government","Girls","26","28","17","27","9","5","8.0","120","D02S13P03","byerima-primary-school_masindi"
"Masindi","Bujenje","Bikonzi","Bikonzi","2023","Ikoba Girls Primary School","Government","Girls","24","20","20","15","10","17","20.0","126","D02S12P01","ikoba-girls-primary-school_masindi"
"Masindi","Bujenje","Bikonzi","Bikonzi","2023","Isagara Primary School","Government","Girls","42","61","38","38","22","30","30.0","261","D02S12P01","isagara-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kitamba","2023","Isimba Primary School","Government","Girls","28","39","48","35","31","20","18.0","219","D02S13P03","isimba-primary-school_masindi"
"Masindi","Bujenje","Kabango Town Council","Kabango Ward","2023","Kabango Primary School","Government","Girls","127","165","163","146","110","136","64.0","911","D02S20P01","kabango-primary-school_masindi"
"Masindi","Buruli","Miirya","Bigando","2023","Kahaara Primary School","Government","Girls","40","16","25","21","15","19","6.0","142","D02S03P02","kahaara-primary-school_masindi"
"Masindi","Bujenje","Budongo","Karongo","2023","Karongo Primary School","Government","Girls","101","89","100","64","63","29","35.0","481","D02S22P02","karongo-primary-school_masindi"
"Masindi","Buruli","Pakanyi","Kyakamese Central","2023","Karungi Primary School","Government","Girls","42","43","40","41","32","32","10.0","240","D02S05P02","karungi-primary-school_masindi"
"Masindi","Bujenje","Nyantonzi","Kasenene","2023","Kasenene Primary School","Government","Girls","133","125","86","49","39","33","17.0","482","D02S16P03","kasenene-primary-school_masindi"
"Masindi","Bujenje","Budongo","Kasongoire","2023","Kasongoire Primary School","Government","Girls","30","36","37","32","24","20","10.0","189","D02S22P03","kasongoire-primary-school_masindi"
"Masindi","Buruli","Kimengo","Kibangya","2023","Kayera Primary School","Government","Girls","57","36","34","19","17","17","5.0","185","D02S10P02","kayera-primary-school_masindi"
"Masindi","Bujenje","Nyantonzi","Kajura","2023","Kibali Primary School","Government","Girls","24","38","23","20","18","12","8.0","143","D02S16P02","kibali-primary-school_masindi"
"Masindi","Buruli","Pakanyi","Kyakamese West","2023","Kibamba Primary School","Government","Girls","32","30","18","17","14","13","7.0","131","D02S05P04","kibamba-primary-school_masindi"
"Masindi","Buruli","Kiruli","Kibibira","2023","Kibibira Primary School","Government","Girls","154","131","60","36","28","22","8.0","439","D02S19P03","kibibira-primary-school_masindi"
"Masindi","Bujenje","Bikonzi","Rukondwa","2023","Kichandi Primary School","Government","Girls","35","35","20","26","25","37","18.0","196","D02S12P03","kichandi-primary-school_masindi"
"Masindi","Buruli","Miirya","Kiguulya","2023","Kigezi Primary School","Government","Girls","56","46","38","59","29","48","11.0","287","D02S03P04","kigezi-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Ntoma","2023","Kihagani Primary School","Government","Girls","35","20","11","13","8","5","2.0","94","D02S13P04","kihagani-primary-school_masindi"
